[2019/10/21 12:58:21 , Normal] -> 设备初始化失败！内容Device_Link_LTSMC.LSTMCException: 错误信息:错误Cannot_be_connected : 无法连接
, 错误编码:8 , 错误函数:LinkDevice, 错误轴向:总控制
   在 Device_Link_LTSMC.Device_Net_LSTMC.CallBack(String optionFunction, Int16[] erroCodes)
   在 Device_Link_LTSMC.Device_Net_LSTMC.LinkDevice()
   在 ControlDec.ConDevice.Link(Dictionary`2 infos) 位置 G:\新建文件夹\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\20191014-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 185 
 [2019/10/21 12:58:21 , Normal] -> 启动服务器成功 
 [2019/10/21 12:58:21 , Normal] -> 连接错误System.ArgumentNullException: 值不能为 null。
参数名: PortName
   在 System.IO.Ports.SerialPort.set_PortName(String value)
   在 ControlLib.ControlCom.Open() 位置 G:\新建文件夹\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\20191014-RZ-GemaControl\AxisMovement\ControlLib\ControlCom.cs:行号 93
   在 TaskOption.TaskFormat.Link(String ip, Int32 port) 位置 G:\新建文件夹\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\20191014-RZ-GemaControl\AxisMovement\TaskOption\TaskFormat.cs:行号 204 
 [2019/10/21 12:58:26 , Waring] -> 读取坐标信息异常 
 [2019/10/21 12:58:26 , Erro] -> System.InvalidOperationException: 在创建窗口句柄之前，不能在控件上调用 Invoke 或 BeginInvoke。
   在 System.Windows.Forms.Control.MarshaledInvoke(Control caller, Delegate method, Object[] args, Boolean synchronous)
   在 System.Windows.Forms.Control.BeginInvoke(Delegate method, Object[] args)
   在 RZ_AutoGemaControl.GameConsole.<>c__DisplayClass49_0.<GetCoordinates>b__0() 
 [2019/10/21 12:59:33 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/10/21 12:59:33 , Normal] -> 设置轴向归零参数 
 [2019/10/21 12:59:33 , Normal] -> 所有垂直轴向归零成功 
 [2019/10/21 12:59:35 , Normal] -> 水平轴向归零成功 
 [2019/10/21 12:59:35 , Normal] -> 所有坐标清零成功 
 [2019/10/21 12:59:35 , Normal] -> 启动服务器成功 
 [2019/10/21 12:59:35 , Normal] -> 连接错误System.ArgumentNullException: 值不能为 null。
参数名: PortName
   在 System.IO.Ports.SerialPort.set_PortName(String value)
   在 ControlLib.ControlCom.Open() 位置 G:\新建文件夹\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\20191014-RZ-GemaControl\AxisMovement\ControlLib\ControlCom.cs:行号 93
   在 TaskOption.TaskFormat.Link(String ip, Int32 port) 位置 G:\新建文件夹\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\20191014-RZ-GemaControl\AxisMovement\TaskOption\TaskFormat.cs:行号 204 
 [2019/10/21 12:59:41 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 12:59:41 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 12:59:43 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:13:06 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:13:07 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:13:08 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:13:09 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:13:09 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:13:09 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:13:10 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:13:10 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:13:10 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:13:20 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:13:20 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:13:22 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:13:22 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:13:23 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:13:23 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:13:24 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:13:24 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:13:33 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:13:33 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:13:33 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:13:41 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:13:41 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:13:44 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:13:44 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:13:44 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:13:44 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:13:45 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:13:45 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:13:46 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:13:46 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:13:46 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:13:46 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:13:47 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:13:47 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:13:52 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:13:52 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:13:54 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:13:54 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:13:54 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:14:01 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:01 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:02 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:02 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:03 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:03 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:04 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:04 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:04 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:04 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:05 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:05 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:06 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:06 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:08 , Normal] -> 正在移动{0}轴U 
