[2019/9/9 9:29:45 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 9:29:45 , Normal] -> 设置轴向归零参数 
 [2019/9/9 9:29:45 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 9:29:50 , Normal] -> 水平轴向归零成功 
 [2019/9/9 9:29:50 , Normal] -> 所有坐标清零成功 
 [2019/9/9 9:34:10 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 9:34:10 , Normal] -> 设置轴向归零参数 
 [2019/9/9 9:34:10 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 9:34:10 , Normal] -> 水平轴向归零成功 
 [2019/9/9 9:34:10 , Normal] -> 所有坐标清零成功 
 [2019/9/9 9:38:27 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 9:38:27 , Normal] -> 设置轴向归零参数 
 [2019/9/9 9:38:28 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 9:38:28 , Normal] -> 水平轴向归零成功 
 [2019/9/9 9:38:28 , Normal] -> 所有坐标清零成功 
 [2019/9/9 9:41:07 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 9:41:07 , Normal] -> 设置轴向归零参数 
 [2019/9/9 9:41:07 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 9:41:08 , Normal] -> 水平轴向归零成功 
 [2019/9/9 9:41:08 , Normal] -> 所有坐标清零成功 
 [2019/9/9 9:56:06 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 9:56:06 , Normal] -> 设置轴向归零参数 
 [2019/9/9 9:56:07 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 9:56:07 , Normal] -> 水平轴向归零成功 
 [2019/9/9 9:56:07 , Normal] -> 所有坐标清零成功 
 [2019/9/9 10:11:59 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 10:11:59 , Normal] -> 设置轴向归零参数 
 [2019/9/9 10:11:59 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 10:12:00 , Normal] -> 水平轴向归零成功 
 [2019/9/9 10:12:00 , Normal] -> 所有坐标清零成功 
 [2019/9/9 10:12:22 , Normal] -> 开始回零操作，停止任何操作！ 
